,ROC,ROC5,Momemtum2,BBmavg,BBup,BBpctB,DIp,DIn,DI,ADX,ema20,sma20,ema60,sma60,MACDoscil,MACDsignal,rsi,SfastK,SfastD,SslowD,SMI,SMIsignal,Yc
1812,0.001556357,-0.004654919,-1.081673,70.74455589,72.36421283,0.209457744,17.10739759,29.23617876,26.17143976,24.59302957,71.08605501,70.67247895,71.77376757,73.18622545,-1.345805066,-1.310413571,39.79855871,0.074072359,0.184012456,0.32955103,-35.99076005,-34.85870132,1
1813,0.02609522,0.01912095,1.946999,70.66741086,72.06299205,0.629652563,21.81905966,26.17877644,9.083152772,23.48518123,71.11498758,70.59655845,71.76118001,73.16445612,-1.146150655,-1.277560988,49.48641302,0.703702942,0.27160408,0.267821076,-34.36947711,-34.76085648,1
1814,0.000757314,0.009889746,1.892922,70.61528339,71.82181339,0.783634346,21.05020337,25.25628157,9.083129937,22.45646328,71.14631562,70.56579215,71.75077844,73.13474433,-0.970561308,-1.216161052,49.74258941,0.722222022,0.499999108,0.318538548,-31.44982095,-34.09864937,1
1815,0.006790001,0.018210005,0.54084,70.67686722,71.9962576,0.940991952,23.71994696,24.11247865,0.820639308,20.91104728,71.22101766,70.65222365,71.75667708,73.121989,-0.767197428,-1.126368327,52.09715334,0.888890321,0.771605095,0.514402761,-27.07714118,-32.69434773,1
1816,0.009727142,0.044926033,1.189849,70.80945753,72.14558882,0.98704753,24.05315645,22.03478241,4.379397493,19.73021515,71.35556655,70.8321793,71.78543458,73.11387703,-0.520423833,-1.005179428,55.35108859,1,0.870370781,0.713991661,-21.0450872,-30.36449563,1
1817,0.007418127,0.050787803,1.243904,70.9544957,72.59758452,1.159128118,27.9711834,20.89799242,14.47372676,19.3547517,71.52880697,70.98345915,71.8309807,73.11300957,-0.261154462,-0.856374435,57.72957256,0.910256434,0.933048918,0.858341598,-14.27256933,-27.14611037,1
1818,-0.003702336,0.020990247,0.270394,71.04108053,72.91402252,1.031059864,26.83121975,20.04629618,14.47372676,19.00610706,71.6597944,71.06019675,71.86616739,73.11205703,-0.085705622,-0.702240672,56.11975207,0.846153905,0.918803446,0.907407715,-8.188263333,-23.35454096,1
1819,-0.007446062,0.012786871,-0.811249,71.16179815,73.12121779,0.880211476,24.97611255,21.8030243,6.783126967,18.13303705,71.72679894,71.17622035,71.8824682,73.08970938,-0.007626342,-0.563317806,52.94010173,0.717948611,0.824786317,0.892212894,-3.819495704,-19.44753191,1
1820,0.012625552,0.018622422,0.378586,71.29159797,73.34911567,0.891875243,22.88487692,21.21788099,3.779799734,17.10780581,71.8749858,71.3249493,71.92837944,73.06676678,0.155477303,-0.419558784,57.36279963,0.935898299,0.833333605,0.858974456,1.903934774,-15.17723857,0
1821,0,0.00889528,0.919419,71.38984992,73.55876052,0.853254831,21.45203729,19.88941325,3.779799734,16.15580538,72.00905963,71.44393315,71.97278539,73.05089917,0.281092923,-0.279428443,57.36279963,0.935898299,0.863248403,0.840456108,7.793198579,-10.58315114,0
1822,0.002211634,0.003688788,0.162254,71.49260819,73.82339708,0.899493089,23.66284206,18.45814938,12.35652938,15.88442852,72.14581728,71.5412831,72.02105522,73.0474639,0.393872116,-0.144768331,58.1674404,0.894117845,0.921971481,0.872851163,13.34635673,-5.797249569,0
1823,0.020408842,0.027799966,1.676582,71.67468778,74.29831963,1.019469848,27.49600929,16.51101314,24.96191641,16.53282051,72.41377211,71.74679875,72.11739252,73.09402992,0.643660377,0.01291741,64.83714639,0.981132097,0.937049413,0.907423099,20.38547252,-0.56070515,0
1824,0.006472395,0.041718423,2.001068,71.86397839,74.92443005,1.061662639,30.60958877,14.86999115,34.60805407,17.82390863,72.70256363,71.92256855,72.22652991,73.16374248,0.883785181,0.187090964,66.67625678,0.896825371,0.924025104,0.927681999,26.68353181,4.888142242,0
1825,-0.037988152,-0.00889528,-2.325562,71.94870955,75.06524781,0.711138511,25.81485271,22.6294711,6.575345369,17.02043982,72.6960129,71.99017335,72.23988241,73.18393048,0.754275484,0.300527868,50.30493115,0.467217139,0.781724869,0.880933129,25.7081482,9.052143434,0
1826,-0.038714758,-0.047610038,-5.570564,71.9279777,75.07645603,0.277120894,22.52959335,30.72910049,15.39562191,16.9043814,72.42739443,71.95231515,72.1623623,73.1599162,0.342035113,0.308829317,39.94544633,0,0.454680837,0.720143603,17.15286017,10.67228678,0
1827,0.019165025,-0.030656647,-1.406181,71.96583598,75.03804076,0.303568235,21.05827119,28.97347497,15.82036285,16.8269515,72.3131283,72.0199192,72.13171435,73.15313037,0.162732904,0.279610034,45.8339707,0.22222251,0.229813216,0.488739641,9.914395333,10.52070849,0
1828,-0.000759615,-0.051825104,1.297996,71.99828563,75.0137173,0.330359983,20.95018727,27.4161084,13.36865071,16.57993002,72.2045937,72.0767063,72.10029798,73.15870872,0.014131601,0.226514348,45.64118437,0.213675209,0.14529924,0.276597764,3.503573045,9.117281402,0
